export_path,category,expected_size_bytes,status,local_instance_count,local_filenames,all_sizes_match_manifest,restricted
file-PKuT1n3gBniH39esJHBitV.dat,asset,3247999,present,1,file-PKuT1n3gBniH39esJHBitV.dat,yes,no
file-PRG9pZc1MPrqtSJD7UaZeR.dat,asset,590286,present,1,file-PRG9pZc1MPrqtSJD7UaZeR.dat,yes,no
file-PbdhExEJgpLLhR7suvu84p.dat,asset,82715,present,1,file-PbdhExEJgpLLhR7suvu84p.dat,yes,no
file-Q2ujQXnHcZce2DLUeqFYdY.dat,asset,513999,present,1,file-Q2ujQXnHcZce2DLUeqFYdY.dat,yes,no
file-Q5DUsnxhRd93oPS683nsTe.dat,asset,205497,present,1,file-Q5DUsnxhRd93oPS683nsTe.dat,yes,no
file-QGbBN3ytht1F2C8dcPhcMd.dat,asset,14621,present,1,file-QGbBN3ytht1F2C8dcPhcMd.dat,yes,no
file-QGcZCf4e56HAAsgczDX5XU.dat,asset,401655,present,1,file-QGcZCf4e56HAAsgczDX5XU.dat,yes,no
file-QKNApgSmBdg916qTNpksnB.dat,asset,216429,present,1,file-QKNApgSmBdg916qTNpksnB.dat,yes,no
file-QUh9FLv87uiPKky15SKfDp.dat,asset,379175,present,1,file-QUh9FLv87uiPKky15SKfDp.dat,yes,no
file-QVMjDvmqkNaZCyDqneWadE.dat,asset,466898,present,1,file-QVMjDvmqkNaZCyDqneWadE.dat,yes,no
file-QjUoojnFSu32GwokXA3BsN.dat,asset,694152,present,1,file-QjUoojnFSu32GwokXA3BsN.dat,yes,no
file-RLfRXjNugofLoPeaBeDPS9.dat,asset,3385601,present,1,file-RLfRXjNugofLoPeaBeDPS9.dat,yes,no
file-RP3DGiVvufxWf1wckySTcK.dat,asset,18278,present,1,file-RP3DGiVvufxWf1wckySTcK.dat,yes,no
file-RwHPCUJvJoE78xRAD8xscw.dat,asset,72533,present,1,file-RwHPCUJvJoE78xRAD8xscw.dat,yes,no
file-S27eeGd02CaocSgLdBf2s8Qx.dat,asset,564357,present,1,file-S27eeGd02CaocSgLdBf2s8Qx.dat,yes,no
file-S9Ck36k9apKwygk8Qb9YGP.dat,asset,422939,present,1,file-S9Ck36k9apKwygk8Qb9YGP.dat,yes,no
file-ScdpuqmmxNLYUsVuizCxqd.dat,asset,267539,present,1,file-ScdpuqmmxNLYUsVuizCxqd.dat,yes,no
file-Sh3ktkZteWjdf1xgXFJU58.dat,asset,208998,present,1,file-Sh3ktkZteWjdf1xgXFJU58.dat,yes,no
file-SteHRDf1TdAQmBywV4u8C2.dat,asset,300645,present,1,file-SteHRDf1TdAQmBywV4u8C2.dat,yes,no
file-TKDW9wEENzCnz2tdwttcQQ.dat,asset,320318,present,1,file-TKDW9wEENzCnz2tdwttcQQ.dat,yes,no
file-TXBEJDJFWZZhXdCYKtuLeZ.dat,asset,586912,present,1,file-TXBEJDJFWZZhXdCYKtuLeZ.dat,yes,no
file-TZbrF6VGgzq77k96yZvzLA.dat,asset,179117,present,1,file-TZbrF6VGgzq77k96yZvzLA.dat,yes,no
file-UF6WFdA8gr1v91ujvY8fzo.dat,asset,564143,present,1,file-UF6WFdA8gr1v91ujvY8fzo.dat,yes,no
file-ULfyw6VXiwnQqE7qv4PVHq.dat,asset,223123,present,1,file-ULfyw6VXiwnQqE7qv4PVHq.dat,yes,no
file-UQ7vXHL0nK4RaKo6gLExkVcL.dat,asset,3356,present,1,file-UQ7vXHL0nK4RaKo6gLExkVcL.dat,yes,no
file-UTYGyKuA2PVKeefjwTQ642.dat,asset,279090,present,1,file-UTYGyKuA2PVKeefjwTQ642.dat,yes,no
file-UhuPQ858hmM5DSUSwSZfL4.dat,asset,168372,present,1,file-UhuPQ858hmM5DSUSwSZfL4.dat,yes,no
file-Uir85JM23P5s2SVTxu1BUb.dat,asset,213454,present,1,file-Uir85JM23P5s2SVTxu1BUb.dat,yes,no
file-UrC5xyKgBgfKA2yXmuPV85.dat,asset,33477,present,1,file-UrC5xyKgBgfKA2yXmuPV85.dat,yes,no
file-V3tRx9mC2yLJYouXtUGp3f.dat,asset,274434,present,1,file-V3tRx9mC2yLJYouXtUGp3f.dat,yes,no
file-V5otTFtNCqb8DiHAvZwHn5.dat,asset,470271,present,1,file-V5otTFtNCqb8DiHAvZwHn5.dat,yes,no
file-VDUJLjns56tcKpov5hqTsn.dat,asset,273720,present,1,file-VDUJLjns56tcKpov5hqTsn.dat,yes,no
file-VG8neARB1uMFNq3VvoSNme.dat,asset,161403,present,1,file-VG8neARB1uMFNq3VvoSNme.dat,yes,no
file-VJaAX3kA8CzWfMbsHK6qnm.dat,asset,271706,present,1,file-VJaAX3kA8CzWfMbsHK6qnm.dat,yes,no
file-VfC9dtNvBTvhz3aWixUZSn.dat,asset,314989,present,1,file-VfC9dtNvBTvhz3aWixUZSn.dat,yes,no
file-Vi5LmzuTMdXNZpEa7qHujG.dat,asset,1089574,present,1,file-Vi5LmzuTMdXNZpEa7qHujG.dat,yes,no
file-VyuwYG8VrmqS4aYXggg6Pm.dat,asset,536262,present,1,file-VyuwYG8VrmqS4aYXggg6Pm.dat,yes,no
file-W8n9KMR2okCpvB1kwHsVfv.dat,asset,3431449,present,1,file-W8n9KMR2okCpvB1kwHsVfv.dat,yes,no
file-WKubpg28bPZVNy76b9uKhi.dat,asset,2904649,present,1,file-WKubpg28bPZVNy76b9uKhi.dat,yes,no
file-WW7pHh3nJTADnzjafN22Xm.dat,asset,330779,present,1,file-WW7pHh3nJTADnzjafN22Xm.dat,yes,no
file-WyqUbYtgFwnwBkutoKdXFD.dat,asset,161755,present,1,file-WyqUbYtgFwnwBkutoKdXFD.dat,yes,no
file-XL4hpmkPV1yRGDq6v53Vwu.dat,asset,281248,present,1,file-XL4hpmkPV1yRGDq6v53Vwu.dat,yes,no
file-XUKERbwUL8ki3hPwSkxA6w.dat,asset,3906,present,1,file-XUKERbwUL8ki3hPwSkxA6w.dat,yes,no
file-XYyv1RNKXUw51gYb9ZtHfV.dat,asset,102094,present,1,file-XYyv1RNKXUw51gYb9ZtHfV.dat,yes,no
file-XqP7fhE4NctdM9X4xL6fuT.dat,asset,322120,present,1,file-XqP7fhE4NctdM9X4xL6fuT.dat,yes,no
file-YDQVwU9LhgLkQCYHbXXfzg.dat,asset,387279,present,1,file-YDQVwU9LhgLkQCYHbXXfzg.dat,yes,no
file-YWjEkoM5jgoWfB5uppDvs8.dat,asset,3911096,present,1,file-YWjEkoM5jgoWfB5uppDvs8.dat,yes,no
file-YsoNwo5vtKruubsdtbL72AK8.dat,asset,977645,present,1,file-YsoNwo5vtKruubsdtbL72AK8.dat,yes,no
file-cGmwUSUEJChzNJGLZWKTs9Ae.dat,asset,564357,present,1,file-cGmwUSUEJChzNJGLZWKTs9Ae.dat,yes,no
file-cnyd5cudHgfsnObjHcaJkCni.dat,asset,503530,present,1,file-cnyd5cudHgfsnObjHcaJkCni.dat,yes,no
file-dbjINxpeyM8IHbDQfncPOfBG.dat,asset,11674,present,1,file-dbjINxpeyM8IHbDQfncPOfBG.dat,yes,no
file-dtH1HKqo8PBDIm6ya8DAkoqv.dat,asset,892724,present,1,file-dtH1HKqo8PBDIm6ya8DAkoqv.dat,yes,no
file-fqXEHWpnG8OHF0XCRmdHCJxb.dat,asset,455434,present,1,file-fqXEHWpnG8OHF0XCRmdHCJxb.dat,yes,no
file-gO0O9R1hu6pn8CwEJ2U4U3LP.dat,asset,762474,present,1,file-gO0O9R1hu6pn8CwEJ2U4U3LP.dat,yes,no
file-gpXlAui2bZ71AsRmprfG97zk.dat,asset,514824,present,1,file-gpXlAui2bZ71AsRmprfG97zk.dat,yes,no
file-hLRB8z5ECT7rw7kDqOKEtrb9.dat,asset,501410,present,1,file-hLRB8z5ECT7rw7kDqOKEtrb9.dat,yes,no
file-huuQFO6xG4zbrtbH0Zkyder5.dat,asset,735792,present,1,file-huuQFO6xG4zbrtbH0Zkyder5.dat,yes,no
file-m8Mt8osXafdUazZUZFDtFnCS.dat,asset,411516,present,1,file-m8Mt8osXafdUazZUZFDtFnCS.dat,yes,no
